speech_key,id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
Proposition_1st,1,0,4,"and to lead to the arguments we have. First, we want to argue what is the purpose of education. Education is like human ability does not automatically reach the level of modern society. So we structure education to teach people how to survive, how to spend their lives in the modern society. Because they need education to reach the level.",introduction,0.0,26.2,
Proposition_1st,2,5,7,"And the purpose of teaching history, and this is what I call structured education, is that history is the past, or kind of the record, of human society. We need to know the past. It is always better to know the past than you will have a clear understanding of the present, it, and the future.",definition,26.8,51.5,
Proposition_1st,3,8,11,"And also, a very, very important part is history can be taken differently, like a treatise. Like a treatise, after a word, can be interpreted. History is interpretation. This is a very important part, we will argue later.",definition,53.1,69.7,
Proposition_1st,4,12,18,"And a front figure and social and institutional factor is like, I guess in this motion, is two different parts. Front figure is like the kings, the general, the president, maybe now, and the history. And the social and institutional factor is the other side of the front figure. It could be the people, it could be the society, it could be the company, organization. It's just not very, very famous. Doesn't mean they are not working, or they are not a big factor. Doesn't mean they are not important at all.",definition,72.4,105.0,
Proposition_1st,5,19,21,"So, here comes the first argument, is that if we teach history just simply as a product of front figures, that will cause the misunderstanding of the real aspect of history. As we say, the purpose of teaching student history is that we want them to know the real aspect of the history. But the making of history, or the writing of history, has many points that we can examine.",point_of_main_argument,106.0,147.8,
Proposition_1st,6,22,27,"Here's, first thing is the way the history is written is very subjective. In effect, by the time, and also the language used, probably different, and usually partial. So, for example, for a language, wise first, for example, the word democracy is pretty, pretty different. And now, and in the past, maybe they don't, and there's a period of time if people don't see democracy as a good word. Sorry, I can't remember the exact example, but we all believe that. We all know that the words, how we describe things, will be very, very different.",point_of_main_argument,148.4,197.2,
Proposition_1st,7,28,32,"And also, the most important part is, the way that history is written is sometimes affected severely by some power. For example, in some Chinese ancient dynasty, when they have to write a formal history, it's all controlled by the emperor. They will hire somebody to write something that in favor of the emperor. Even if that is a very, very bad emperor, they will try to mark themselves very, very great in the history. So, history is biased.",point_of_main_argument,197.7,235.9,
Proposition_1st,8,33,39,"We can, especially in grand figures, the making of grand figures, is not always reflect the reality of the history. And also, even in modern time, we have rather fair, rather fair social structure or something. Maybe they won't really force somebody to write good thing about them, but the grand figures still can represent the history of its time. For example, now, in our generation, or in recent year, do you think Donald Trump can represent our generation? It's not our generation, our time. It's not, it's only just a really, really, it's not always represent what we, what the real aspect of history. So, also, there's the misunderstanding of the real aspect of history.",point_of_main_argument,236.3,312.5,
Proposition_1st,9,40,42,"Now, only look at grand figures will lead to individualism in a society. When we all think that the history is, the course of history is always made by some grand figures, then we will think that only those figures in the world, in the history, is important. And we overlooked the importance of the people, the institution, and cannot fully understand the society as a whole.",point_of_main_argument,314.3,352.7,
Proposition_1st,10,43,50,"And also, so that will lead to so-called individualism, when we think the history or the importance is dominated by a few figures, then we will want, we will, as I say, overlook the importance of people. And sometimes, if you believe in that, that will be really, really hard to the student to believe they have the importance to cooperate with people. And it's hard to explain, but if you think, it is always some grand figure in the history like making something, you won't believe that it is useful to be, just to be one of the people in a society to do something. You'll think that is meaningless and don't want to cooperate. But our society, to some extent, needs a huge amount of cooperation that we can live together. So, with all the reasons above, proud to propose. Thank you.",point_of_main_argument,355.5,427.5,
Opposition_1st,1,0,0,more easier under understandable impact on saying that for as for students just learning about the history in a way that we've learned mostly about in the historical individuals it's just more easier to understand and easier to follow and I think that just meets the basical principles and obligation of what school needs to do in order which needs which needs to do which is to teach them their students about how to study in that like how to learn correctly about history and let all the kids understand the fundamental knowledge.,introduction,0.0,29.9,
Opposition_1st,2,1,13,"First let me explain what Opposition and Opening Government gave us. I think that Opening Government mainly gave us about how history is biased and all these type of things. I think that this is asymmetrical on both sides. History is anyways biased. What we have to focus on is what we are given inside history. Yes, I know that it is biased but that is both on both sides. Is that asymmetrical on both sides? So what we can do inside today's world is to interpret what is actually out inside the world. In Japan we all have basically the same textbooks and we interpret that. We're taught about that. So I think bias doesn't really matter in both ways. I think that even if we teach about it in government's world, there's still going to be bias anyways. So I think that's out of the state.",independent_rebuttal,30.3,74.6,
Opposition_1st,3,14,19,"With that being said, let's go on to our main points. I'd like to start first talking about some setups. I think one thing to note here is as I clarified that what we're talking about is about historical big grand figures. It just means people on textbooks like Donald Trump, about Hitler, about Akechi Mitsuhide. These people who have some sort of painting or drawing inside this textbook. We all know that he or she was an impactful figure inside history.",definition,75.0,106.3,
Opposition_1st,4,20,34,"What's our framing here? I think this is a sneaky framing coming from opening opposition, but I think that the scope of this debate is about students and schools inside elementary and middle school. I think that in this debate, this is a consensus that in history we have to learn about both historical figures and the historical context behind that, whether it's social or all these types of things, what opening government is trying to say. I think everyone inside of Cisco, even in both worlds, know that this is an important factor. Therefore, to learn history fully, you have to learn about both metrics and both sides. I think this is going to be done in high school and university, which is out of primary education. In high school and university, that is a place where you learn more deeply about what actually history is for researchers or just to have a deeper view. I think in that situation, both historical figures and historical context is going to be teached in this. Therefore, the delta in this debate is about elementary and middle school students, where they learn about fundamental things about history, which is pulled by the government and said, you should teach this. These governments tell these schools that you should teach this in primary education. In these sorts of times, also inside opposition, we're going to teach them more about who was the important figures inside history, rather than saying, oh, the context was this, the background was this. Therefore, it led to this individual coming down. I think that our world, where we teach individualists, that history is mainly divided or fragmented by historical figures is way more important and easier to understand. I'll be explaining that in my argument. Therefore, the implication here is that this main scope is about middle schools and elementary schools, and I think that taking the opposite side is way easier for them to understand.",definition,106.3,226.6,
Opposition_1st,5,35,39,"With that being said, what are our substantiates today? I think that, as I've been repeatedly saying, it's easier for these school students to actually learn history and more understand it to a degree that schools want their students to learn about. Just one additional piece of framing about the obligation of schools. I think that governments have also said this, but schools' obligation is to try to teach their students, for example, the curriculum that is supposed to be taught, and let their individual students actually know about that, and actually have a full understanding about what needs to be taught. I think that schools will do their best to try to teach individuals the best way, or the best way to do it.",definition,226.6,271.3,
