id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,5,"All right. We win this debate because we're going to solve the deadlock between do we have to be the same to invest into this developing country, or do we have to be a capitalist who only look for the money? Kind of deadlock. Very happy to propose this motion. So I'm going to start with explaining what OG was looking, and then I'm moving on to the rebuttal against the entire opposition bench. And then I will explain why we won this debate.",introduction,0.0,29.3,
2,6,12,"So first of all, OGs, they gave us these basic arguments about how this kind of incentive or why this kind of demand is going to exist in the developing world or the developing world or the canning investor. No, no, you did a great job. But basically, they were missing the straight things. First of all, why green investors don't care about the money? We don't think they don't care about the money at all. Yes, they maybe care about it, or I'm going to contribute about CEO's case later.",independent_rebuttal,29.3,58.4,
3,13,14,"And second of all, why startup is going to get success? Because if you do not see any successful vision in that company or in a developing country, I don't think OG's case is going to stand, because it's not going to make any changes to the environmental world or something like that.",independent_rebuttal,59.0,74.7,
4,15,17,"And third of all, why is it really unique to a developing country? Why it's not going to be like this? Why you can't achieve the kind of change to the environment when you invest into a developed country?",independent_rebuttal,74.9,86.3,
5,18,23,"We solve these kind of things by explaining, first of all, this is going to be successful, because there's a lot of demand who's not depending on moral standard. Let's say more of a practical needs on a daily basis. For example, as Hamza has already explained to you, they're going to include, let's say, water generating machine, or maybe some machine that includes cleaning the air pollution, which is making people suffer from pneumonia every single day. So also, they have a lot of potential. We can see that kind of things from the example of China investing a huge amount of money every single year to this developing country startup dream company, sir. Sorry, that kind of things.",point_of_main_argument,86.3,131.9,
6,24,25,"And yes, for all those reasons, we gave you a deeper layer of how this kind of incentive and how this kind of successful possibility is going to happen on our side of the house. At this point, we already override all three.",point_of_comparison,132.7,150.8,
7,26,38,"And next, let me move on to what our participants has gave us. So first, about the OO. They gave us several things. First of all, they are mentioning about how this kind of startup cannot win the competition. So it basically has no meaning to invest into this kind of company. But as our member has already told you, they don't have to compete with a big company. They don't have to be against this big tech or something like that. Why? Because they're solving the problems on a daily basis. Let's say, that kind of practical needs, which the consumer doesn't have to care about economical things. Because they're suffering from this kind of problem on a daily basis. They buy it because they need it, not because they care about environment. So this is why the competition argument doesn't matter at all.",independent_rebuttal,151.1,194.0,
8,39,47,"So second of all, about how they're talking about developed countries, developed world is more responsible about these kind of things, like explaining how carbon emissions goes, like they have achieved or something. So now, we do not have the responsibility to care about the developing country. We should invest this kind of money to the developed country because they are more responsible about it. I believe this is wrong in two ways. First of all, as a green investor's mind, I think this is morally wrong. Because just because they could not achieve these kind of goals like before, it doesn't mean that you should punish them forever. And as a green investor, I think you have huge incentive, have this high moral standard that say you should give them a chance, that says, you should invest into these sort of companies so that you can see a possibility. Yes, Arti, could you go ahead?",independent_rebuttal,194.0,245.2,
9,48,48,We're still funneling money into morally corrupt regimes that carry out things like genocide.,poi,245.3,249.8,
10,49,52,"Uh, well, that's like saying Japanese people killed Koreans before, so I don't be friends with you kind of things. So I understand those kind of governments still own some responsibility. But that doesn't mean that this kind of startup companies is going to be malicious people who's going to do a genocide or something. So we have to set the kind of things apart in a moral standard way.",independent_rebuttal,254.0,279.9,
11,53,62,"And second of all, about effectiveness, they're mentioning that maybe solving the top 10 company problems in the US would be a much more achievement in the meaning of climate change. However, I doubt this point as well. Why? Because, yeah, OK, let's think about this in this way. Let's say you invest in this kind of electricity kind of things. Or maybe you invest in Tesla kind of things. Can you really see the achievement in those kind of things? Can you really see the achievement when people are riding a Tesla or a Bujee car, or maybe they're paying a little less money toward the electricity or something like that? Can you really see the achievement? No. If you really want to feel this is getting effective results, maybe you want to see how this is going to actually help the people on the ground. So for those reasons, this argument does not stand as well.",independent_rebuttal,280.1,327.6,
12,63,69,"And lastly, about the CEO, they, first of all, gave us some sort of what kind of characterization we can see here. Yes, we understand that. And first of all, it's kind of contraindicating. They mentioned that they already have this Bujee-ass bank account, so they do not care about the financial things. And then they said that now these countries are kind of shady. So this green investor might lose their money, so they should care about it. So first part of their argumentation was sort of contraindicated by itself.",independent_rebuttal,328.9,362.4,
13,70,74,"And next of all, they didn't know what sort of any demand for green startup in the developed world. We already explained why we need money for the developed country. It's simply because the government doesn't care. It's simply because there's less support for this kind of company. So it's coming from the supply and demand relationship.",independent_rebuttal,362.4,384.4,
14,75,86,"So lastly, I'm going to give you some way of and how we are going to win this debate. It's simply because at this point, you're going to pick one between being a saint versus gaining money. But we solved this deadlock by explaining, one, why it's likely to be successful. We already gave you a bunch of reasons for this. And second of all, why you have active reason to do so. It includes sense of meaning. It includes the feelings that you actually save those people from drowning. Or you actually save those people from getting new money. Or you actually save those people from getting clean water or that kind of things. So as a green investor who's deeply concerned about this climate change and the people who suffer from that kind of problem every day, I believe that it's the best choice for you to pick investment to the developing country. They're happy to propose. Thank you.",point_of_comparison,384.4,438.3,
