id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,0,"So first of all, wait, I'm going to talk about my setups, a few engagements, and then our argument.",introduction,1.6,6.4,
2,1,8,"So firstly, on setup, we think, what does this progressive activism look like? Like, we need to rethink feminism. I think we'll talk about that. So moving on. Like, what the integration looks like, right? Basically, people, like, these progressive things are going to take a more conservative approach to things, right? It's like, for example, like, LGBTQ people, they can't get married, but they have this partnership system, right? It's like those systems that are also catered to conservative people or, like, a bit, like, not completely liberal is what we're talking about.",definition,6.5,32.1,
3,9,16,"And then a few engagements. Firstly, to OJ, they talked about how simply on their setup, it's going to be better, because simply conservative people are going to feel less conservative. They're going to be more, and that's going to cause societal changes. I wasn't sure to what extent this is going to happen, because insofar as they characterize these conservative people as, like, people who really can't change their ideas, right? They talked about how these people have internalized, like, traditional perspectives, traditional ideas, and therefore they're conservative, and it's really hard for them to change. I don't get why it's going to be societal changes, because these people are really, they can't change their ideas, therefore they're really unlikely to, like, actually change their stance towards it, right? That means they're not going to, like, actively vote for something that's progressive, or like, they're not going to actively do things that's going to be progressive things. So I don't see how much the societal change is going to be better on their side of the house.",independent_rebuttal,32.6,78.0,
4,17,20,"So what our side is going to do is, like, number one, we're going to tell you why, even if there isn't, like, a huge societal change, it's still going to be better for these minority vulnerable people to work on it, right? And then number two, we're also going to sort of crystallize the mechanization that they try to take. So simply, why do we think that it's much better that we take a conservative idea, why we take a conservative rhetoric into our advocacy? Simply, we think it mitigates the social stigma that people have against these vulnerable people.",point_of_main_argument,78.9,108.7,
5,21,27,"Why is this true? Because inside opposition's paradigm, where, like, these activists, like, they actively, it means they distance themselves from conservative voices, right? They're basically denying everything a conservative people says. They're, like, pushing for more and more left-side stuff. What does this happen? Because, like, basically, as Ojaz told you, like, old people, conservative people that exist in every country, they naturally have, like, huge traditional beliefs that are, like, people integrate into their lives, right? So what these people are calling, when they see these movements that completely deny their core beliefs, they're probably going to consider it as, like, a radical thing, right?",point_of_main_argument,108.8,142.8,
6,28,30,"They're probably going to think, like, because these people, when they, for example, if you look at LGBTQ marriage, they see guys marrying guys, and these people, because of their, they probably think it's unnatural, they probably think it's weird, or simply because it goes against everything. So the more that these movements distance themselves, the more radical they're going to seem. And what happens then is that it's likely that these movements are going to be super demonized, right?",point_of_main_argument,142.8,163.9,
7,31,34,"What does this look like? For example, it looks like, for example, these movements actively say trans women should be in women's bathrooms no matter what, or just saying trans women should participate in Olympics women's sports no matter what. We think that regardless of whether this should happen or not, there's, like, a huge number of people who find a problem with this, right? And people, and huge, what happens is, like, a huge sort of backlash, right, just from to say.",point_of_main_argument,163.9,186.3,
8,35,36,"Something that we have to note here is that in this, the more they distance themselves, it's not just the conservative people that they are losing support from, it's also the people who are in the middle, right? Because, like, the more, there's, the more bigger the societal narrative becomes that this movement is radical, the more people are probably going to feel swayed by that, and this movement is probably going to become demonized.",point_of_main_argument,186.3,207.8,
9,37,38,"What happens then is that, next, is that these progressive movements are likely considered as, like, woke, or, like, regarded sarcastically, and this leads to them losing their credibility. We think this has a huge impact on what they are able to do as a movement, right?",point_of_main_argument,207.8,221.1,
10,39,44,"But then what's even worse is that it impacts the people on the ground, right? We think that our point is going to be super important, and the impact is more important because we're talking about the people who are actually going to get discriminated, what their lives, how their lives are actually going to change on the micro level, right? Because on our side of the house, where, oh yeah, on their side of the house, where these movements have become radicalized, naturally the people who are associated with movements are also going to be, like, radicalized or humanized, there's going to be more backlash from conservative people towards these individuals, so what happens then is that the people on the ground feel who are actually going to suffer more, because there's probably going to be things like more discrimination and more stereotypes that actually goes against what's reality, right? So people are probably going to be like, oh, that gay man is so racist, that sort of super, super radical stuff is going to be more prominent inside opposition, and what happens then is that these people who are the most vulnerable are probably going to be extremely hurt by this sort of situation, and we think that this is especially going to be worse in conservative areas, right? Where the majority of people, the majority of people inside are already conservative, and then as soon as it takes an even distance, there's even more from the conservative side,  So there's, like, an even worse sort of narrative going on within the countries. I think there's going to be more backlash in cornering these sort of situations, and it leads to, like, indisciplinary people.",point_of_main_argument,221.2,299.1,
