id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,2,"We all recognize that social media can bring benefits for communication. We also have consequences on social media in terms of radicalization, addictive behavior, and damaging on the own person and society. Far outweigh any benefits that can be gained from social media as a platform.",introduction,0.6,14.8,
2,3,5,"I open with this question. What is social media? Social media was constructed in the late 2000s as a platform created by private firms that enabled mass communication amongst different people around the world for different matters, whether that be via video communication, for asking people out, e-through private encrypted messaging, or whether that be through online posting mechanisms.",definition,15.4,32.0,
3,6,10,"The main point is this. Social media is not a nice, comfortable public good. Rather, it is a good made by private firms to maximize profit. It is not a good considered social welfare of its users. It is a product considered a profit motivation for both organizing and operating it.",point_of_main_argument,32.0,47.1,
4,11,13,"So, how do social media platforms make money and what do they want to do to make money? Social media largely makes its money by repeated use and integrating the platform into users' day-to-day life so that they can see more advertisements and are more willing to subscribe to silly things like text premiums, whatever, and hashtags. Therefore, the social media companies want people to be online every day, every moment, and always having it on.",point_of_main_argument,47.1,68.4,
5,14,16,"So, how do they do this? Social media becomes integrated into someone's life by, first of all, being addictive and using a certain echo chamber. AI algorithms, most notably on platforms like Instagram Reels and TikTok, are designed to repeat the same information to the individual and repeat the same kind of content to the individual and repeat the same information to the individual and keep them thinking the same manner.",point_of_main_argument,68.4,93.3,
6,17,20,"Why is this dangerous? First of all, from a political level, in terms of political information on social media, all political information on social media is designed to repeat the same vision, the same ideology, and the same point of perspective to the individual. This can quickly snowball, as was most notably seen in the 2024 UK cell phone riots, in which misinformation regarding a riot in the UK was spread on social media via echo chambers and led to people believing misinformation that ultimately culminated in riots. Therefore, the constant spreading of information within the social media can reaffirm political opinion and actually discredit critical thinking of an individual.",point_of_main_argument,93.3,125.7,
7,21,25,"Moving forward, this has other issues. As echo chambers are designed to constantly repeat the same information, they actually prohibit the individual from discovering new ideas or discovering new things. Social media actually restrains the capacity of the individual to think, as they're constantly fed back the same information, the same political opinions, and the same ideas on, I don't know, film, the same opinions on bookshoppers. It does not expand the individual's mind. Rather, it entails it so that they can constantly remain on social media and constantly receive the same comfortable feedback, the comfortable, habitual feedback that social media can offer.",point_of_main_argument,125.7,155.6,
8,26,32,"Moving forward, social media to make maximised profits for other companies needs to be, in many ways, habitual to the individual, so that they feel comfortable and not worry about what goes on each day. This is already achieved by the echo chamber, in which people seem to receive the same content but don't have their views challenged, which is psychologically deemed to be scary for an individual, but also, by doing it in a manner that doesn't require them to engage in a massive manner. Social media is designed in a way so that it is only a recipient contract, in which the individual watching the video does not actually engage with the person making the video. They may leave a like, they may put a small comment, but they're not actually engaging with the content creator itself. They aren't debating, they aren't expanding their position. Rather, they're simply receiving the same information. By having a one-way transactional model like this, the individual doesn't actually learn anything, the individual doesn't gain anything new, they merely waste their time by staring at a screen, and they're encouraged to do this by integrating it into their day-to-day routine, and also, by integrating it into their day-to-day routine, and not expanding, and not challenging their views in any way.",point_of_main_argument,155.6,213.7,
9,33,38,"Moving on from this, we also see the capacity of social media to spread misinformation. Social media operates by epichamber, but it also operates by giving people a catchy headline. If you want to get someone on social media, and you want to keep people on there, you have to offer people something that may be considered interesting within their current ideological framework. This can lead to people expanding their views within someone's political or ideological framework, and then using this to radicalise them, or spread more extremist views. Therefore, the role of the epichamber can actually radicalise people, can actually radicalise people based on their current political positions, and lead them to more dangerous or extreme views. Therefore, social media contributes to political instability in the country.",point_of_main_argument,214.0,253.6,
10,39,42,"Finally, let's go on to the other negative externalities associated with social media, at the individual level. First of all, on a social media platform. By repeated use from an individual, someone will first of all have eyedropping, in which they're staring at the screen for extended periods of time. In doing this, the eye function of the individual becomes imperfect, and they'll stop to develop problems and concentrate for long periods of time, while deciphering certain patterns within a colour scheme.",point_of_main_argument,253.6,279.2,
11,43,46,"Moving on from this, most notably with TikTok, where we've seen various investigations, people's attention tends to dwindle on certain social media platforms. Why? Because it's designed to be habitual, because it's designed to be a comfort thing, and because it's designed to be addictive. People spend more time on social media, and their attention naturally dwindles when they spend more time on an online platform designed to do this.",point_of_main_argument,281.2,298.9,
12,47,51,"Finally, I'd like to make it clear that social media is extremely challenging to regulate. You can't regulate yourself to make social media a beneficial good. Given that social media is so massive with its diversity of platforms, if you attempt to ban certain ideas, or attempt to stop certain eco-chains, people will either gravitate to a new social media platform that provides the same comfort, or they'll use other means to achieve their certain content. Once again moving to the UK Southport riots, in which rather than using political phrases to spread information on the riot, people used other phrases such as the word Southport, which wasn't inherently political, but still spread the message and the misinformation with it. Therefore, social media, add-on to the fact that its sheer scale makes it impossible to completely regulate by human beings, is something that can't be controlled.",point_of_main_argument,298.9,340.4,
13,52,59,"Therefore, let's have a look at some of our various key arguments. Social media is inherently designed to make money for the companies, not for the individuals, and individuals are actually harmonised by its operation. Individuals are seen more dangerously. Individuals will say things in the kitchen, which presents them to think, and that can change into political or personal radicalisation, as attempts to change their current views in a more dangerous manner. Moving forward, social media also damages the attention of the individual by repeated views, and aims to use as much of their time as possible, by giving conventional, by integrating into their day-to-day lives, or giving similar content. Finally, this can lead to damaging things like ideas, and damaging the attention of the individual, changing the way young people develop their brains. Therefore, social media only damages its users, doesn't expand their thought process or their capacity to articulate arguments, and ultimately can lead to dangerous political radicalisation, or simply trap them in a political echo chamber. Therefore, we believe that social media does more harm than good.",point_of_main_argument,340.4,399.9,
