id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,0,I would like to oppose the motion that the House will assassinate Putin.,introduction,1.5,10.1,
2,1,5,"The first reason is that there is a malicious way to get rid of Putin from international society. The method is to capture him. There is an international legal court that is trying to capture Putin. Also, if there is no authoritative organization, we can just kidnap and capture him. These are the alternative ways.",point_of_main_argument,10.8,72.9,
3,6,8,"Also, the second point is that there is a need to reflect on what he has done. He has to think about what he has done and he has to understand his responsibility. But if Putin is assassinated, it will be unable to be done.",point_of_main_argument,74.2,107.2,
4,9,12,"Also, we have the alternative way to kidnap him. There are several examples. For example, we can deprive him of freedom. We can keep him in one place or limit his freedom of action.",point_of_main_argument,108.6,163.5,
5,13,17,"Also, we believe that there is a right to live even though he or she committed a very massive crime. For example, execution has been prohibited in many countries. Execution has been continued in Japan, but in many developed countries, there is no execution in the contemporary world. So, there is a right to live even though they have committed a crime. So, that's another reason.",point_of_main_argument,164.5,225.1,
6,18,28,"We can also think about the family of Putin. The family of Putin has no responsibility against the war in Ukraine. For example, Putin might be the husband of somebody. Putin might have their children and Putin is the father of their children. What do you think of the family that has been wrongly killed in Ukraine and also in Russia? What do you think of the family members that are pretty much dead through the Ukraine and Russian conflict? First of all, I want to address the responsibility of the family. They are going to lose their husband. He is the husband or father of their family. The government is going to lose his father or husband. That is not a good thing.",point_of_main_argument,228.0,318.2,
7,29,30,"Also, against the prime minister, the prime minister said that Putin was the only ideologist of Russia to continue the Ukrainian war. But there are also other ideologists such as the top person of the Russian Orthodox Church.",independent_rebuttal,318.8,353.6,
8,31,32,"Also, the prime minister said that the assassination of Putin will end the war. But the successor of Putin may appear after the assassination of Putin.",independent_rebuttal,355.5,381.5,
9,33,35,"Also, the prime minister mentioned the urgency to end the war. But also, the method to get rid of him, as I said, to capture him or kidnap him, is not going to take time. So, even though it is an urgent thing that we have to get rid of Putin from the international society, it is because that idea is affected.",independent_rebuttal,383.0,430.7,
10,36,37,"So, from this reason, I would like to oppose the assassination of Putin. Thank you.",introduction,430.7,444.1,
