id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,1,"For example, when we just talked about how racism do exist in most of Asian population society, but also where the countries where right-wing has most control over media, how they portray immigrants to be, or how legislative changes or policymaking are centered around how they have leverage in resource allocations in the parliament or how they have more leverage in general community, as Cici talked about, therefore, we're probably thinking in a way that there'll be a consequentially negative influence on these immigrants as well. So we firmly oppose this motion.",introduction,0.0,35.7,
2,2,9,"So first of all, I'd like to engage to what governments I talked about. First of all, they talked about how migrating to developed country in itself is good, but we say this is unlikely in multiple ways, because intolerance, there's many intolerance seen in developed countries. For example, they don't accept religiously conservative individuals, or they do behave in a way that languages and culture is probably going to be homogenous. They are quite difficult to find jobs and communities in the first place. I think there's a burden of proof on government side, which is unsolved, on how exactly they are going to find a community or how they are likely to assimilate in a way that they imagine to be. I think Japan, having low depopulation, having depopulation despite the possible benefits of welcoming immigrants, is all cemented and rooted in the conservative ideology. Therefore, I think there is a high barrier for these immigrants to actively opt into that sort of community as well. There are also liberal people residing in a particular area, but we say this is unlikely in structural ways.",independent_rebuttal,35.7,96.2,
3,10,14,"But second of all, they talked about how there's still a chance for people to assimilate in a good way, but we say this is ultimately speculative because it is totally up to the individual whether they can find a suitable individual to communicate or find these environments to be comfortable. Because despite having better infrastructure, it doesn't necessarily mean that they find it really comfortable in the first place, because it is more about proximate connection that they have, or proximate emotions, emotional attachment that they have to other people as well. I think at the end of the day, there's no characterization in this debate on how exactly this application looks like, or how individuals are able to communicate within this application. It's completely up to debate, and not much characterization exists in. Therefore, the probable likelihood on how they are good at making good partners, or finding good husband or wife, is very speculative at the end of the day, when we already characterized how there is fundamental difference in languages, cultures, or livelihoods, or fundamental ideologies in a country.",independent_rebuttal,96.2,154.2,
4,15,19,"But also, we would like to talk about when marriage and children is something irreversible. OG talked about how utility-wise it is good, but we say this is completely speculative. But also, at the same time, people can't really make reasonable, do-it-all decisions, when they can't really rewind the time and make another decision. There is a trade-off. I think utility metrics that they provided doesn't really apply to this debate.",independent_rebuttal,154.2,180.6,
5,20,21,"But second of all, even if that wasn't really the case, I think it still doesn't justify ignoring vulnerable people, as OG talked about, people to be exploited by corporate, by creating power asymmetry between the poor women in developing countries, and rich men in developed countries as well. Therefore, they have to justify why corporates should have a better leverage in terms of creating these, actively creating these power asymmetries as well.",independent_rebuttal,180.6,203.7,
6,22,24,"But also, engaging further into how CG talked about diversity and creation is going to be good. But first of all, they never provided a weighing as to why creating diversity in itself is good, especially when this debate topic is about how in Asian population we should deal with these Asian population things. I think there should be a weighing as to why promoting inclusivity, specifically in right-wing community, is probably going to be utility-wise good.",independent_rebuttal,203.7,230.3,
7,25,29,"The second thing to note here is that this is probably going to be untrue, because of the characterization that OG has already provided. Right-wing probably stays to be right-wing, especially when there are cemented ideologies centered around media portrait, policy-making, and so on. But also, it is about intergenerational influence that grandparents or parents have over children as well. There are some sort of information asymmetry that these individuals are difficult to overcome by themselves. Therefore, we still think the diversity point is not much relevant to this debate as well.",independent_rebuttal,230.3,263.3,
8,30,33,"But last of all, I would like to explain why our impact outweighs all themes in this debate. How Okun extends in this debate is very crucial. When Okun did talk about how there are specific ideologies that household is constituted by Japanese husband, Japanese wife, and Japanese children, that validates actual authority of country as Japan. Therefore, that sort of conservative ideology is probably going to be a high barrier for these immigrants to actively find happiness in these communities.",point_of_comparison,263.3,295.2,
9,34,42,"But the problem here is that there is not much information accessible to these developing countries in the first place. They talk about choices, but there is not much information to make that sort of valid decision making. I think that sort of rationality, and they probably have a rational decision, is going to be speculative. But rather, we conversely give you why this is not going to be the case. One is about the high expectation that individuals have to exotic culture in itself do exist. They'll probably have a glorified expectation towards marriage with other racial individuals. But B is in terms of samples that they already face some sort of pressure by their parents. They probably seek for other opportunities, but we still say this sort of reality is quite distorted by the portrait of these advertisements made by these profit-driven government institutions and so on. So we say this is not going to be much utility-wise good decisions.",point_of_main_argument,295.2,354.5,
10,43,47,"So I would like to talk about why this is consequentially going to be bad. One, this is bad for users on the app. We say this is very important because exactly your parents or grandparents are going to be the ones who will criticize you yourself. We think this sort of individual is quite proximate compared to what they talk about how the community and neighborhood is going to be good. We say in the proximity-wise, I think being criticized or being blamed by people who are really proximate to you or in a blood relative is probably going to be more proximate to these individuals.",point_of_main_argument,354.5,385.1,
11,48,53,"And also, the second metric that we win is regarding the systemic disadvantages that these individuals are going to face. This backlash extends to a significant degree. Government side will probably say this backlash and right-wing discrimination is going to be symmetric, but we think the scale is quite different when there is a consensus that large-scale number of people is going to be assimilating. But B, I think the degree of anxiety that these right-wing people have is probably going to be different because oppositional counterfactual will be how minority families will randomly marry each other, but on government side, they'll institutionalize international marriages. This is going to be a tipping point for these right-wing people to weaponize this fact and make massive backlashes. And this is the reason why we win.",point_of_comparison,385.1,430.4,
