id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,3,"The Leader of Opposition stressed the scope of today's motion. Schools mean elementary and primary education for middle school students. And that the importance in such institutions, the importance that we think about of the education in such institutions is how easily the students can learn historical facts. And that in order for them to have a basic fundamental knowledge of history, it is better for schools to teach history focusing on grand figures because it's more simple and likable.",independent_rebuttal,0.0,66.7,
2,4,7,"I understand that it's easy to memorize and understand history if it's taught in the traditional way, which is, I would say, memorizing the basic names, years, and events in history. But there's a problem to this. It has become too superficial, as it can be seen in exams in elementary schools or middle schools where you have to fill in the gaps of the names or years of the events. And it's become just a memorization game.",independent_rebuttal,69.7,127.0,
3,8,11,"Maybe a few students in your class may love history or something, and they have their favorite characters in history, like Tetsuo Noguchi or Oda Nobunaga. But I feel like the majority of elementary or middle school students will dislike history because of the simple memorizations and the ongoing entrance exams and stuff just for that. Particularly in Japan or places where they do entrance exams. I feel like history has become a memorization subject.",independent_rebuttal,128.0,175.3,
4,12,14,"It does set a basic knowledge base for the students, but it goes too long. Until high school, it's mostly memorization. And the more deep education that our leader of opposition mentioned, or research, starts from university classes, and if the student chooses to take such classes.",independent_rebuttal,177.8,213.2,
5,15,17,"So what I'm trying to say is that history should be taught in a deep way from a more earlier age, in mandatory education age, not from university, because as our opening program... DOI? Yes, I'll take the DOI.",point_of_main_argument,213.9,234.2,
6,18,18,"What is the capacity of these people, these younger students, to actually learn everything that is given to them by the teachers?",poi,235.2,241.9,
7,19,33,"The capacity? Oh, like how much they can... Their intellectual abilities, I believe that's what they need. Yeah, well that's, I think, a good question. But I feel... I like to compare historical education in Japan and, let's say, the United States. I feel like Japan is more focused on memorization than the United States. I feel like in the United States, textbooks are more different. It's more like reading, text-reading based, and having conversations with your partner, or having discussions, or choosing your favorite historical character and presenting them. Whereas in Japan, it's more like just listening to your teacher and memorizing your notes. So I feel like if we're even the same age, there are countries other than Japan that are more deeply teaching history. Maybe not covering the whole historical events in history, but to go into a deeper level. So I feel like children would still have the capacity to go to a further education if you focus on certain areas in history. And I feel like that's a preference, but yes, I think capacity-wise.",point_of_main_argument,243.1,332.6,
8,34,40,"So children can learn history deeply. And I feel like that's the point. What's the point of learning the whole history from when people were monkeys to now? That's not the point. Do you remember the whole... What's the point of doing the whole history once? I feel like that's not meaningless, but I feel that learning your favorite or the most important or influential parts of history deeply would be more fruitful for a person.",point_of_main_argument,332.6,377.8,
9,41,43,"Like, for example, if you compare World War II and World War I to Jōmonzudai in Japan, I feel like the importance or influence that it has to modern days are very different. Obviously, World War II and World War I has a lot more impact or a lot of international relationships that are currently happening, are rooting from such events. And I feel like we should focus the educational, historical education on such impactful events and go deeply.",point_of_main_argument,377.8,413.9,
10,44,47,"Yes, that's one point, that history should be taught deeply. And in order to do that... And that requires not just memorizing the grand figures of events. It requires really understanding the social and institutional factors of such events. Thank you.",point_of_main_argument,413.9,441.7,
