id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,3,7,"One of the things that OG said in their speech has already flawed their argument and tells us that their plan is not going to work either way, and that's the statement that these developing countries don't have the incentive to change or just blame it on richer countries and they don't take the initiative. We're here to tell you why, as a green investor, investing in climate startup in a developed world would, first of all, bring them more revenue and second of all, be able to help the environment more proud to oppose. Okay, so in my speech, I'm going to do basically three things. First of all, a rebuttal. Second of all, a piece of setup and then going on to my arguments.",introduction,19.6,60.4,
2,8,14,"Okay, so what was the OG saying? OG was saying how developed countries have this capacity to, generally, compared to developing countries, they have more capacity to care and they have more capacity to change the environment and stuff, right? However, we don't believe that this capacity would be what immediately means that they would care about the environment. For example, take the US, right? They don't even believe in climate change. Even the president don't believe in climate change. So what is there to ensure that these developed countries have the incentive to put their financial, put their money into these environmental and climate change things, right?",independent_rebuttal,60.9,98.9,
3,15,17,"Second of all, they were saying how these developing countries don't have the incentive to change. For example, India and stuff, they have a big problem, they're just playing with other countries and that's exactly the problem here. It's that the competition that's going to happen when you invest in a climate startup as a green investor in developing countries is not going to yield you any money and render you not being able to help anyone in the long run, right?",independent_rebuttal,98.9,119.8,
4,18,26,"Okay, going on to my setup. So what is a green investor? A green investor here is not like, we don't, when we say green investor, they're still an investor, they're still a human. They're not like, they don't have unlimited, like, what do you call it? Unlimited financial capacity. They still have the amount, they still can, what do you call it? Use up their money. And especially when they invest in projects that don't produce waste and stuff like that, it's a really niche thing and compared to other investors, they tend to have less, might have less revenue or income, right? And as I was saying to the green investor, have a really deep interest in about climate change.",definition,120.1,160.8,
5,27,34,"Also, okay, going on to my second piece of setup about developing countries. So what is the characteristic of these developing countries? We said that these developing countries, as they were saying, they focus on developing more, right? They would, for example, they would see this two, for example, put two gas in front of them, they would choose the cheaper one because they're a developing country, right? That means that there's also gonna be a lot more competitions and this also applies to these startups and these companies. And on the other hand, in a developed world, there's going to be more proper framework, there's going to be more, what do you call it? Their objective is going to be more on sustaining rather than making money comparatively to these developing world, which means that there's going to be less competition in these monetary fields. Right.",definition,161.8,214.7,
6,35,41,"Okay, going on to my arguments, why they would make less revenue if they were to invest in a developing world. First of all, as I was saying, the competition, right? The tendency for them to prioritize something that's cheaper on top instead of something that's sustainable or something like that, right? When this investor, when they put, when these climate startup, climate startup here already as a startup, even if it's not a climate startup, it's still going to be like, there's going to be less money, there's going to be a financial capacity and the financial hardship for them in the first place already. And so putting them in this very competitive environment already is going to, there's a high risk of them not, sorry, what was I saying? It's going to put them in a competitive mode with other starters and stuff like that, especially when in like, what would you call it? In this developing world where they don't really put sustainability on top, right?",point_of_main_argument,215.6,276.7,
7,42,45,"And also at the same time, there's alternative materials and fields that are cheaper that would be more prioritized in these developing worlds. And so in this sense, the green investor would not be able to make as much money as in the developing world simply because the things that they're investing in are not as, or don't have as much, what's the word? Oh my gosh. Don't have as much demand as other things.",point_of_main_argument,277.8,303.5,
8,46,48,"How is this going to impact? The thing is like the green investor, when they're not, we don't have the money to invest, they're not going to be able to help anyone in the first place, right? They're not going to be able to invest in more startups, they're not going to be able to widen whatever their company or whatever startup they're investing in just because they don't have enough financial capacity, which means that many other countries, many other places are not going to be able to have this help, have this support that they need.",point_of_main_argument,304.4,329.5,
9,49,54,"Okay, second of all, why do we say that we can actually help the environment more than the government side? When we're looking at waste overall, we think that the developed world are actually the ones that have more waste and that these, that these, because simply because they have more, they might have more people, they have more companies, they have more bigger infrastructure and bigger, what do you call it? Oh my God, I'm thinking up. Bigger factories, meaning that their waste overall is going to be much more than these developing countries. And all of this waste, usually it's going to go to these developing countries. So the waste, the start of the waste here is not from the developing countries themselves, but more like the developed countries, right?",point_of_main_argument,330.0,381.9,
10,55,56,"And so when we say a green investor putting their investment in these countries, it's going to help and it's going to cure the problem from the root, which is these developed countries. The main focus here is to fix the developing countries first before it reaches the developing countries.",point_of_main_argument,381.9,400.5,
11,57,57,"And as I was also saying, in comparison, it's going to be, there's going to be less competition in these developed worlds, meaning that the green investor would be able to make more money comparatively, would be able to invest in many other projects that would help the environment overall.",point_of_comparison,400.8,421.4,
