id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,10,"They say that in a world where people, at first, in high school, in elementary school and middle school, they will learn about some certain figures, and in the high school and universities, they will learn more critical stuff. What is the problem in this world? First of all, when you are teaching someone to be about the grand figures, what do they do? They idolize this person. They think this person is a very saint person. I want to be someone like him. Eventually, they went to universities or high school, and they learned that this person has so many flaws. Then this person or this person becomes very confused. He is confused about his identity, first of all, and he feels very less of himself for idealizing such a bad person who he taught him as a good person in middle school. So this is a kind of a problematic scenario you are going through because of their wrong system.",independent_rebuttal,1.4,56.8,
2,11,12,"The second thing is that when they are learning about these things in high school or universities, they feel that the elementary school or middle school teaching is useless. They feel like those teachings have no impact in their life, at least, or they feel that this is something that they wasted their time on.",independent_rebuttal,57.1,75.9,
3,13,20,"And there is another problem to this one. It actually enhances the polarization of your society. Because most of the people in developing countries or in developed countries, they might not go to high school or universities. So the people who are actually getting the idea that this person of history was a very good person, and they are dropped out from the school, and the people who are going to universities are being critical about those persons. There is a huge identical gap between these two groups. And these two groups, when they are actually meeting in real life, they have different kinds of knowledge about history. And when they interact in real life, they are making a contradiction of their society. And this way, you are enhancing the polarization of your society by teaching some wrong stuff to your elementary school students or middle school students.",point_of_main_argument,75.9,128.7,
4,21,32,The entire burden of not taking. So the entire burden that they wanted to prove that it will be very easy for the elementary school students to learn the history. What is the burden for us to teach history in an easy way? There is no such thing that you have to teach them in an easy way. You don't teach half of the math to your students just because it will be a great burden for them. Then why are you teaching history in an easier way? There is no way you can make the content easier. You have to make the teaching materials easier. You have to make the...not taking. So you have to make the way of teaching easier for them to understand it. It is not a good idea to actually minimizing your content or sacrificing your content.,independent_rebuttal,128.7,177.0,
5,33,39,"The second thing about the closing opposition is that they believe that in some part of the history, when you are emphasizing on historical cult figure, you are representing the whole community. We believe that this is a problematic idea because they want to say that Gandhi reflects the entire British colonization movement of India. But it is not true because at the time of Gandhi, there was another person who is like Subhash Chandra Bose. Gandhi was protesting for peaceful movement. In the other hand, Subhash Chandra Bose was the guy who wanted the freedom and liberation in a violent way. He wanted the liberation through a war. So there were a significant amount of supporters in Subhash Chandra Bose's...",independent_rebuttal,177.0,224.6,
6,40,43,"At the end of the day, you can't teach history 100%. On government side, you are just going to teach it more deeply. On opposition side, you are teaching it more bumpy. Why can you say on opposition side, we're telling lies when we're just picking up fragments of history?",poi,224.6,238.3,
7,44,50,"So the problem is that when you are emphasizing on a biased history and you are emphasizing on a cult figure, it is likely to be more biased because as the government argues, the empire will try to manipulate it. So in terms of if you want to teach history as a product of grand strategy, you have more incentive to over glorify. But if you are teaching it as a product of social or institutional factors, you eventually like spontaneously you are making... You have to add different perspective in it because society and institution has many kinds of perspective which a single person do not have. So eventually, if you are not focusing on a single person, you have to focus on different perspective. And when you are providing different perspective, that history is becoming less biased. So that's why in our world, history is less likely to be biased.",point_of_comparison,238.3,297.5,
8,51,58,"So the problem that I was explaining, so when you are trying to pick a cult figure and trying to portray history as his sole experience, then you are not reflecting the entire history at the same time. What is the problem of this? For example, if you want to portray Malala Yousafzai's struggle as an entire struggle against Taliban regime, then after 50 or 60 years, some people might argue that Malala Yousafzai was later aligned with the West bloc and she was serving the purpose of Western. So they will just see that all the struggle Malala faced against Taliban was a propaganda of Western world. And in that way, they can literally overthrow all the allegations against the Taliban government, Taliban as an organization. All those that you are saying is based on a sole figure, and this sole figure is in  So in that sense, you are actually not having a strong narrative against Taliban government.",point_of_main_argument,297.5,360.5,
9,59,62,"So when you want to do that, you are having more struggle to reestablish the narrative that has been broken. So you cannot reintroduce or re-argue based on one singular particular person. Otherwise, if you focus on more social context, if you focus on the single person who lives in Afghanistan and his struggle or her struggle, then you can portray that if it was not only Malala Yousafzai who faced oppression against Taliban government, there were more people who faced the same thing. In that way, you can emphasize on your history way more better.",point_of_comparison,360.5,394.7,
10,63,67,"And the last thing is that when you are scapegoating some people because of some thing, so you are actually not getting into the core of the problem. You think Hitler is the problem, but if you focus on more social and institutional factors, you can teach the elementary school students that it is not by Hitler only. There is more core problem to the society which actually led to World War II or something like that. In that way, when you are scapegoating one singular person, you are not being able to actually identify what was the core of the problem.",point_of_main_argument,394.7,428.4,
11,68,70,"So in our work, we give you a better explanation of core of the problem. We explain, we reflect the entire history perfectly and we actually minimize the polarization in the society. Thank you so much.",point_of_comparison,428.6,442.2,
