id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,0,"It is the consensus between the Austrian and all that a too long history is so important versus in tax of this and we Create some substantive why it is so understandable for the children and why it is so beneficial in terms of long run Yeah, for example, like a high school and university, etc.",introduction,0.0,17.3,
2,1,1,"Before talk to lucky opposed to this motion and fancy Terry rebar and including my extension as to why on our side of the house is still like understandable for children and why it's a beneficial the first we point out of that area of the offering government and the biggest often government failure is they didn't mention about the Enough about a capacity of those children why those people you can completely normalize Complicated complicated come context of we see a lot of people in some of the society We're gonna be even the it is a thousand years adults Yes, it is.",independent_rebuttal,17.6,54.1,
3,2,2,"So so there's so much factor to memo life for those non-students I've heard on the contrary on the opposition cause I we could pick after such an individual This is so famous in this era or in this decade, etc So this is possibly so in terms of the amount of memorization.",point_of_comparison,54.3,71.3,
4,3,4,"This is so understandable for the children and the second of all Yeah, it is so difficult for the student to be sure to how the how the Thousand years ago, it looks like for a style as those kind of error. Yeah, what kind of error is it looks like?",point_of_main_argument,71.3,88.2,
5,5,6,Comparatively on the potion powder. We picked up some individuals and those individual is famous This time Thousand years ago to therefore a Model research or a model of knowledge in front of society and as a because of this such as the drop before it is Easy for the children and the teacher also to teach the materials which is related to the substance a master the individual and it is Also for the children.,point_of_main_argument,88.2,117.2,
6,7,10,"It is so understandable Yes But I see if you if he wanted to teach a little context to this student Student so in the Like so complicated human relationship and there's an ownership relationship, etc Since I'm a dancer, I go etc. This is so it costs a sequence of the first of that I like this separate decade or etc. However, we pick the individual and the Resident that era or decade. So it is From the This is so like easy for them to understandable compared to the on our side of the house and Moving on to the computer.",point_of_comparison,117.2,163.8,
7,11,14,"We borrow to the thing coming from the opening government party, this is directly ground figures is not so like important for like the the children because Yeah, it's going to be like a misunderstand. Etc. However, I think this is come pretty impactful to the Firstly even social movements or For the teacher to say I Was only about the last 50 years of 200 years of colonization How are you going to represent the history of the first 150 years to the history books?",independent_rebuttal,163.8,267.7,
8,15,15,"We were considering only a grand figure because in those 150 years there was no grand figures okay, if you Many cool I think even that we can't see dying stopping.",point_of_main_argument,267.7,337.2,
9,16,16,"I was so what what is so happy for the Society, yeah, there's no expression as to why it is so happy for the state So therefore even we can't see that I think There's no for the educational system so we support the benefits from our side is to Substance is still understandable for the children to run about the history clearly more than the government account partial So because of that in the long run, there are more public very safe.",point_of_comparison,337.2,371.9,
10,17,18,"Yeah even our Framing we see that I just based on like the elementary or middle school So therefore in deficit or several years those kind of people I can't bother the artistry in the older than the government There's no Distance the Complicated one is going to be concrete in our comfort for sure. Therefore in the long run, you can connect to the future as the Whether the easy or to run about therefore to",point_of_comparison,371.9,436.8,
