id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,3,"We believe that this motion is going to harm the residents who are living in the disastrous area from the status quo, and we believe that by taking this motion, choosing people who were privileged to live in the safe area is the only safe people, and the others who couldn't will be abandoned. So we believe that everyone has the right to live in a, everyone has the right to make their living more safer, or like everyone has the right to get more good access to like more foods or more like stores, we're happy to propose mainly two things in my speech. First, I'll explain why land development is necessary in those disastrous areas, especially when we can like mitigate the damage when we like develop the areas. And second of all, I'll explain the counter-attitude, like why this motion is going to make the rich and poor like people living situation changes, like only rich people can live in the safe places and poor people are going to be kicked out from that place, and yeah, or like why is this going to be harm to the people who's anyway living in that area.",introduction,0.0,75.8,
2,4,5,"So first of all, I'll explain why land development is important. We believe that those areas in this motion feature is that it is dangerous, but at the same time, the land price is really, really low, so like, so the company can actually distribute the cost of what we can use, so like we don't have to pay much money to the land, so like the company can use for more technical development, like making the building more stronger, or like we can make more like underground like drainage by making some pool or something like that.",point_of_main_argument,75.8,110.3,
3,6,6,"And also, like it is a very big chance for the company, because that place is a blue ocean for the company, because no one wants to like buy it as the government side say, right?",point_of_main_argument,110.3,119.8,
4,7,7,"And at the same time, like why company, like as the government side explain, like the company have is a profit seeker, so the company don't want to lose the investment they made, so that's why they have a strong incentive to make more strong building, or like more like earthquake resistance building that the company wants to get.",point_of_main_argument,119.9,141.7,
5,8,8,"And also, since they want to get a profit, they're going to like make a very good marketing that whether the place has a demand or not, so like they know that the land makes a profit by acquiring that place, because the people who, there is some people living, and also at the same time, company wants, company in order to get people to come, like they'll try to make more infrastructure, yeah, infrastructure.",point_of_main_argument,141.7,170.5,
6,9,9,"And why this is going to like mitigate the disaster is simply, when the company like use, make more like, make more buildings, like it can be utilized for like evacuation shelter, or if the places have more like serious like water disaster, like if the company makes a very tall building, which is like strong, strong resistance, like it can be like a place that people can like go into, right?",point_of_main_argument,170.5,201.2,
7,10,12,"So, maybe that in this term, like we can mitigate the disaster damage even if it comes, and even if we can't, even if we couldn't mitigate, like why it is good for the people living from the status quo, is simply they can get more commercial facility, like they can get more supermarkets, they have access to like a drug store, or like they can go to like a game store, and like a happy life to get more hobbies or like that. So, and at the same time, as I explained, for the people who's coming, we can get more electricity, the company will try to get more electricity, like water for the toilets, or like get more like roads access, to like maintenance the roads to come easily. So, like, it may be that the opening of the explain about the job situation, but we believe people can also like have access to like make their quality of life better in terms of like buying stuff, like maybe this is going to get better for the people.",point_of_main_argument,201.6,262.6,
8,13,16,"So, second of all, why this is a counter situation, like it is going to be bad for the people who, especially poor people. So, like, imagine the situation like in America, like New York town, like there is many luxurious houses, and it is at the same time, it's really safe. And on the opposite, like the Texas is where it has some kind of really heavy water, like a water drought situation. So, like, if we take this motion, like the likely case is that the company is going to build more like safe areas.",point_of_main_argument,262.6,300.3,
9,17,21,"So, the company is going to make more commercial facilities in the area, which is like there is already some people living like in New York or something. So, like more people is going to come to that area. So, like, in that situation, like the land value is also going to increase. So, like, when the land value increases and more people come, the house rent is going to be more like get higher. So, like the more luxurious houses, like the safe area is going to be more luxurious housing.",point_of_main_argument,300.3,334.2,
10,22,24,"So, like the people who's living in that area, who doesn't have enough money, has to like go to other places. So, like the most places has like some kind of risk because of the global warming, right? So, the safety accessibility is only for the people who has like enough money that who can live, who has capacity to live there.",point_of_main_argument,334.2,357.1,
11,25,30,"So, lastly, I'll explain why this is going to be that harm to the people who's anyway living in that disaster area. So, like why those people live in that disaster area is simply they bought a house. So, it is hard to like get a new house because of the monetary problems. They have jobs that they have, like they were working for like 40 to 50 years. Or like they simply have the affection to their home, right? So, like they don't have like a very big incentive to go out from the place or they don't have the money to like move out, right?",point_of_main_argument,357.1,387.0,
12,31,32,"So, even if and as Okun said, like the earthquake, even if there is an earthquake, it's like a 5%, like 1 to 5% or like that. So, like people don't have a really big incentive to live here, right?",point_of_main_argument,387.3,399.5,
13,33,34,"So, like at the same time, maybe the government doesn't have the big incentive to develop that place because simply like the national budget is not really meant too much to develop that place. So, even if they try to make a policy, like they have high risk to be rejected.",point_of_main_argument,399.5,417.9,
14,35,36,"And also like because of that, like there are going to be less supermarkets or drugs or like less accessible to their daily needs. So, like when and also when disaster happens, like there's going to be like less shelter that they can go on to.",point_of_main_argument,417.9,432.1,
15,37,38,"So, therefore, in this terms, we're happy to oppose. Thank you.",point_of_main_argument,432.1,436.5,
