id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,1,"The biggest problem in this motion is not loneliness, but the aging problem. Because it doesn't matter whether you get partner or not for two reasons.",introduction,0.0,8.1,
2,2,8,"Firstly, love is not a necessity for people. Everyone can find their meaning of life. Someone wants to meet. Even if you do not find love, you have other meanings. You can have a pet. You can play games. You can have brotherhood, which is greater than love.",independent_rebuttal,8.9,24.0,
3,9,15,"Anyway, the second thing is love is not necessarily a good thing. I had a date with two Japanese girls after I came to Japan. And the result of both dates is catastrophic for me. One very happy date makes me depressed for a few months. But they never answer to me anymore. You are never sure whether the partnership brings you happiness or not. And therefore, I don't think, even if it's self-loving, it's not a good thing.",independent_rebuttal,25.1,53.5,
4,16,22,"But actually, why is the aging problem so urgent? Because in Japan and in Europe, there is lack of young people working. And there's lack of taxation. And the government needs those kind of tax to give the welfare to poor people and to the old people. And if there is lack of labor, the whole country is falling into crisis, which the infrastructure, the welfare for old people and the poor people are going to be not enough. The people's quality of life are actually going to be reduced. That is the worst situation we are going to avoid.",point_of_main_argument,53.5,91.3,
5,23,33,"Next, one set up. What's the future of the current world? The current world, in some area, there is a strong problem of lacking of population. And in some area, there is a strong problem of overpopulation. And that area is called India. And therefore, I think the best solution, no matter for Europe or for Japan, is to import India people into their countries and let those India people make money for them. I think that's the best, quickest solution. And India are actually willing to move out, because India, they can speak English. They can work. They have job skills. And moving outside of India, they get a better environment, as Lisa has explained for a very long time.",definition,91.3,138.6,
6,34,37,"And here comes my argument. If you make this agency, India are going to meet a serious backlash, no matter in Europe or in Japan. Why is that? It is because of the existence of right-wing.",point_of_main_argument,138.6,153.6,
7,38,46,"So in Europe, you have France people who think France culture is the best in the world. And they think if you don't speak France, you're stupid. And in Japan, you have the right-wing that are legal to the emperor, even if the princess looks like this artist. Oh, sorry for that. But yeah, he goes to school. By the way, he goes to the best school. But anyway.",point_of_main_argument,153.6,173.1,
8,47,49,And what's the characteristic of the right-wing? Do you know what? Yes?,point_of_main_argument,173.1,178.4,
9,50,50,"Well, you think Chinese culture is the best, but you still hang out with foreigners?",poi,178.4,183.9,
10,51,58,"Why is this analysis relevant? Because I'm not a right-wing. I'm a peaceful left-wing. I support feminism. I support animal rights. And I support, I don't know. And I also support the environment. Anyway, I don't need to talk, so anyway.",point_of_main_argument,183.9,200.7,
11,59,64,"So OK, so several characterizations for the right-wing people. But firstly, they want to protect the purity of the lineage. So they think the identity of Japanese nation is really important. So if Japanese people have family with other countries, the blood of Japan will become more and more loose. And maybe after several generations of Japanese, there will be no pure Japanese. And that's a problem for right-wing.",point_of_main_argument,200.7,235.5,
12,65,68,"And secondly, they want to protect Japanese culture. If one Japanese marries a foreign people, they're not going to, likely, they're not going to have a new year. But instead, they're going to go to the church for Christmas. And that's a harm to the Japanese culture.",point_of_main_argument,235.5,250.6,
13,69,72,"And lastly, right-wing, they think about principles instead of the practical outcomes. So even if it's a good thing for them to get married, even if it's a good thing for the culture to have a niche, like, how do you say, the right-wing, they do not think economically. They think it's principally wrong. And they're going to be against that.",point_of_main_argument,251.1,270.2,
14,73,80,"And why this agency are going to make right-wing very angry about foreign people? Because in the status quo, just as the opening government is planned, people actually do not have a lot of opportunity to date with foreign people, to have a lot of opportunity, to have a trustworthy and a safe platform that they can actually match with each other, have a family, and have children. That is not possible in the status quo. And therefore, even if now Japan imports a lot of Indian people, right-wing are not going to feel the culture are going to be ruined by India, or Japanese blood are going to disappear because of India, because Japanese male and Japanese female, they don't have a lot of chance to know those Indians, to marry with those Indians. And therefore, those Indians are just working in Japan, living in Japan, and then marry with other Indians. So it's not a huge threat to the Japanese culture, to the Japanese traditional ideology.",point_of_main_argument,270.2,326.7,
15,81,87,"And what is the problem if this agency is made? Is that there will be a very effective, trustworthy platform that people know each other, that people get married with each other. And what if the closing opposition says it's right? If some Japanese, they just like beautiful, brown-skinned, like-colored women, they're going to use the platform. And if they use the platform, they will be matched. And that's going to be really dangerous thing for the right wing, because their culture are going to be harmed. And the blood of their nation are going to be harmed.",point_of_main_argument,326.7,364.5,
16,88,90,"And they're going to have backlash, two kind of backlash. Firstly, they're going to have demonstration that is against the immigrants, which is going to scare India from coming to Japan. If India see a lot of news saying Japan have anti-immigrants demonstration, they're not going to come to Japan.",point_of_main_argument,364.5,381.3,
17,91,94,"Another is they're going to vote for the right-wing politician, and that is likely to happen. They're going to vote for Takahashi instead of vote for, I don't know, like, Kurosanko or something like that. Anyway, and therefore, there will be less, if the right-wing politician wins, there will be less assistance for foreigners and more restriction. And they're going to import less Indians, which means the total number of immigration is just going to be reduced.",point_of_main_argument,381.3,408.1,
18,95,100,"And that is just bad for solving the Asian problem, because only by importing the Indians, we can solve the emergency of Asian problem. Because even if you borrow more children, they don't make money immediately. If you import Indians, they make money immediately. And secondly, Indians are more stable. They just make money. If you have children, if you have policy that's incentivized to have more children, you're not really sure whether that's going to come to an effect or not.",point_of_comparison,408.1,441.0,
19,101,101,"But anyway, we're happy to propose.",introduction,441.0,442.8,
