id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,2,"Speech in 3, 2, 1. Even if these companies have the ability to somewhat develop within these areas, which are prone to natural disaster, which by taking the characterization of opposition tend to be underdeveloped countries, we will provide why on our side of the house it's better not to run the risk, and effectively prove to you why these corporations don't necessarily bring benefits to these areas at all. Very proud to propose.",introduction,0.0,25.5,
2,3,4,"So going off first to some reporters, so side opposition has basically defined these areas to be impossible to develop, and some corporations, they want to give the best to the people and do magnificent stuff. However, even though these areas might be difficult to develop, actually some corporations take advantage of this, and I will effectively prove to you in a very unique example.",independent_rebuttal,26.1,50.3,
3,5,5,"And also, they say this characterization of companies wanting to give employment to the people and whatnot, but by taking into consideration some examples, I'll effectively prove to you why not.",independent_rebuttal,51.3,63.0,
4,6,12,"So first of all, going against this reporting towards the government, let's take, for example, the case in Africa that they have been mentioning. Yet they don't mention the cases in which these corporations are in underdeveloped areas, and they just profit off these poor people. They profit off cheap labor because, of course, they're profit seekers, so it's safe to assure that they won't really worry about the people at all. They might bring the idea of employment, but what if their governments are corrupt? Opposition doesn't really address this at all, and they actually play a key role. So by taking into consideration those factors, actually these corporations don't really bring that much development into these lands, even though they might be hard to develop. Compared to other higher value areas, they're actually more likely to develop in these areas because they don't really have to pay that much attention to the people in general.",point_of_main_argument,63.4,111.0,
5,13,18,"And also, moving on to the idea that even if these areas are underdeveloped, the governments might not want to do it, they actually will. And one clear example of how these corporations benefit of having this land developed is the clear example of Microsoft right now in Latin America. As AI continues to grow, this corporation needs large plants where they need a lot of water. However, surprisingly enough, they're placing them in these Latin American countries where there are already problems of droughts, and they do so because it's cheap and they abuse the people there. They don't really care if the people have water or not, they just have their plants consuming a ton of water, and they don't care about the people at all. So taking into consideration this example, we can see the clear purpose of this actor, that is simply to make a profit and not really care about the environment at all.",point_of_main_argument,111.5,161.8,
6,19,27,"And so moving on to an extension of the main argument provided by my partner, which is a risk investment, we will effectively put to you, even if this is going to mean some sort of profit, in the best case scenario of opposition, they don't really address the risk of this environmental disaster on the long run. So let's take, for example, a corporation. They established something in the land, whether it's a farm, a large building, or whatever. And then let's imagine there's a large fire, there's a large heavy rain, and all the land is drained. In the case of a farm, as you develop land in an agricultural sector, you cannot really go back in time. If something happens to that plot of land that you already farmed, that you already cultivated in, ultimately the land is going to use nutrients and it's going to become unusable. Even if these corporations know about this, they're going to go for the short-term benefit. However, on the long-term, there is no way for them to make a better profit, and instead you're making all of the actors worse off. So that's why on our side of the house, even if these actors don't get the short-term benefit, it's way better to avoid this risk on the long-term by preventing the impact that it's causing.",point_of_main_argument,161.8,226.5,
7,29,29,Then where does government get the capacity to save this vulnerable class of individuals?,poi,226.8,232.4,
8,30,36,"So, because we're not saying the government has the capability to effectively save these actors, because it's environmental disasters. Even if they're prone to know about it, there's no way to effectively prevent a large-scale earthquake or tsunami. But we're saying that if we prevent this land from developing, we can reduce the damage that there is going to be inevitably on both sides of the house. It's symmetrical. There's going to be some sort of unluckiness for these people. However, on our side, we reduce that by preventing this land from becoming a larger disaster than what it should be. Even if this land could become a short-term profit, on the long-term, there's this always-ever-existing risk that this land is going to cause only further damage.",point_of_comparison,232.4,276.5,
9,37,52,"And also, moving on to another extension of the unique environmental impact. Because, of course, I already proved to you why these corporations, even though they're profit-seekers, yes, they might bring some jobs in the short-term. It would take the best case of opposition. But as I proved to you previously with the example of Microsoft, we have these corporations abusing from these cheap plots of land. You have these first-world countries going to these third-world countries to establish this underdeveloped land. And because there's a permit for that, and the government gives it, it's actually best for them, these companies, to establish it. It's safe to assume that they will establish their corporations in these underdeveloped plots of land. And instead of providing any sort of benefit, they're just going to continue abusing it because of the previous illustration I gave you of how Microsoft, or these large technology companies, that they need so much water, they don't really care about the people. Even though their companies are from their own home country, since they know the large amount of harm that they cause within their country, they choose to go to these underdeveloped countries where they don't own anything to anyone. They choose to establish their own AI software, hardware, which requires a lot of water, without any regards to the people there. In this instance, opposition has to effectively prove to me why these corporations are going to bring so much of a good short-term benefit, even though they're abusing these plots of land. And the long-term risk of this and the harm is very existing. The drought, it's going to run out of the water. The people, it's going to effectively affect their quality of life. Their social utility is going to diminish because even though they might argue that these places nearby are going to give people a better chance, they actually don't. I gave you the example of Microsoft, but you also think about the mining industry or the example of Shell in Africa. They actually end up damaging these underdeveloped plots of land even more.",point_of_main_argument,276.5,382.5,
10,53,56,"And because it's an area that people don't really pay attention to, there is really no way for the government to ensure that there's not going to be a long-term risk. And also, opposition keeps mentioning Africa, yet they don't mention to me how the government is going to ensure that the profits go to the people. They haven't really looked at this side of the situation. So even if they want to say that it's going to be like a good short-term benefit, they have to assure me why on the long-term it's not going to be as bad.",point_of_comparison,382.5,407.5,
11,57,59,"Whereas on our side of the house, I already effectively proved to you the unique harm on opposition's side in which corporations take advantage of these underdeveloped plots of land. And also, even if they do a good investment, there's also the already existing risk of an environmental disaster that is going to represent a long-term loss that these corporations, and therefore the area of the corporation or whichever plot of land was developed, is not going to be recovered. That's why on our side of the house, even if there's no short-term benefit or we cannot ensure the security of people as same as opposition, at least we eliminate this long-term risk that is going to have upon these plots of land and the people nearby.",point_of_comparison,407.5,444.1,
